"","smoc2_normal1","smoc2_normal3","smoc2_normal4","smoc2_fibrosis1","smoc2_fibrosis2","smoc2_fibrosis3","smoc2_fibrosis4"
"ENSMUSG00000077587",0,0,0,0,0,0,0
"ENSMUSG00000077588",0,0,2,0,0,0,0
"ENSMUSG00000077590",0,0,0,0,0,0,0
"ENSMUSG00000077591",0,0,0,0,0,0,0
"ENSMUSG00000077592",0,1,0,0,0,0,0
"ENSMUSG00000077593",0,0,0,0,0,0,0
"ENSMUSG00000077594",0,0,0,0,0,0,0
"ENSMUSG00000077595",0,0,0,0,0,0,0
"ENSMUSG00000077597",0,0,0,0,0,0,0
"ENSMUSG00000077598",0,0,0,0,0,0,0
"ENSMUSG00000077599",0,0,0,0,0,0,0
"ENSMUSG00000077601",0,0,0,0,0,0,0
"ENSMUSG00000077602",0,0,0,0,0,0,0
"ENSMUSG00000077603",0,0,0,0,0,0,0
"ENSMUSG00000077604",0,0,0,0,0,0,0
"ENSMUSG00000077607",0,0,0,0,0,0,0
"ENSMUSG00000077608",0,0,0,0,0,0,0
"ENSMUSG00000077609",0,0,0,0,0,0,0
"ENSMUSG00000077611",0,1,0,1,0,1,0
"ENSMUSG00000077612",0,0,0,0,0,0,0
"ENSMUSG00000077613",0,0,0,0,0,0,0
"ENSMUSG00000077614",2,1,1,2,0,0,2
"ENSMUSG00000077615",0,0,0,0,0,0,0
"ENSMUSG00000077616",0,0,0,0,0,0,0
"ENSMUSG00000077617",0,0,0,0,0,0,0
"ENSMUSG00000077618",0,0,0,0,0,0,0
"ENSMUSG00000077619",0,0,0,0,0,0,0
"ENSMUSG00000077620",0,0,0,0,0,0,0
"ENSMUSG00000077621",0,0,0,0,1,0,0
"ENSMUSG00000077622",0,0,0,0,0,0,0
"ENSMUSG00000077624",0,0,0,0,0,0,0
"ENSMUSG00000077625",0,0,0,0,0,0,0
"ENSMUSG00000077627",0,0,0,0,0,0,0
"ENSMUSG00000077628",0,0,0,0,0,0,0
"ENSMUSG00000077629",0,0,0,0,0,0,0
"ENSMUSG00000077630",0,0,0,0,0,0,0
"ENSMUSG00000077633",0,0,0,0,1,0,0
"ENSMUSG00000077635",0,0,0,0,0,0,0
"ENSMUSG00000077637",12,20,20,7,9,15,5
"ENSMUSG00000077639",3,0,4,8,2,4,4
"ENSMUSG00000077640",0,0,0,0,0,0,0
"ENSMUSG00000077641",0,0,0,0,0,0,0
"ENSMUSG00000077642",0,0,0,0,0,0,0
"ENSMUSG00000077643",0,0,0,0,0,0,0
"ENSMUSG00000077644",0,0,0,0,0,0,0
"ENSMUSG00000077645",0,0,0,0,0,0,0
"ENSMUSG00000077647",0,0,0,0,0,0,0
"ENSMUSG00000077648",0,0,0,0,0,0,0
"ENSMUSG00000077649",0,0,0,0,0,0,0
"ENSMUSG00000077650",0,0,0,0,0,0,0
"ENSMUSG00000077652",2,0,0,0,0,0,1
"ENSMUSG00000077653",0,0,0,0,0,0,0
"ENSMUSG00000077655",0,0,0,0,0,0,0
"ENSMUSG00000077659",0,0,0,0,0,0,0
"ENSMUSG00000077660",0,0,1,0,0,0,0
"ENSMUSG00000077661",0,0,1,0,0,0,0
"ENSMUSG00000077663",1,0,0,0,0,2,0
"ENSMUSG00000077664",0,0,0,0,0,0,0
"ENSMUSG00000077666",0,0,0,0,0,0,0
"ENSMUSG00000077667",1,0,0,1,1,0,0
"ENSMUSG00000077668",0,0,0,2,0,0,0
"ENSMUSG00000077669",0,0,0,0,0,0,0
"ENSMUSG00000077671",0,0,0,0,0,0,0
"ENSMUSG00000077672",0,0,0,0,0,0,0
"ENSMUSG00000077673",0,0,0,0,0,0,0
"ENSMUSG00000077674",0,0,0,0,0,0,0
"ENSMUSG00000077675",0,0,0,0,0,0,0
"ENSMUSG00000077677",0,0,0,0,0,0,0
"ENSMUSG00000077678",0,0,0,0,0,0,0
"ENSMUSG00000077680",0,0,0,0,0,0,0
"ENSMUSG00000077681",0,0,0,0,0,0,0
"ENSMUSG00000077682",0,0,0,0,0,0,0
"ENSMUSG00000077683",0,0,0,0,0,0,0
"ENSMUSG00000077685",0,0,0,0,0,0,0
"ENSMUSG00000077687",0,0,0,0,0,0,0
"ENSMUSG00000077689",1,0,0,0,0,0,0
"ENSMUSG00000077691",0,0,0,0,0,0,0
"ENSMUSG00000077693",0,0,0,0,0,0,0
"ENSMUSG00000077696",0,0,0,0,0,0,0
"ENSMUSG00000077697",0,0,0,0,0,0,0
"ENSMUSG00000077698",0,0,0,0,0,0,0
"ENSMUSG00000077700",0,0,0,0,0,0,0
"ENSMUSG00000077701",0,0,0,0,0,0,0
"ENSMUSG00000077702",0,0,0,0,0,0,0
"ENSMUSG00000077703",0,0,0,0,0,0,0
"ENSMUSG00000077704",1,4,7,12,11,14,5
"ENSMUSG00000077705",0,0,0,0,0,0,0
"ENSMUSG00000077706",0,0,0,0,0,0,0
"ENSMUSG00000077707",0,0,0,0,0,0,0
"ENSMUSG00000077708",0,0,0,0,0,0,0
"ENSMUSG00000077709",0,0,0,0,0,0,0
"ENSMUSG00000077710",0,0,0,0,0,0,0
"ENSMUSG00000077711",5,8,4,11,17,7,12
"ENSMUSG00000077713",0,0,0,0,0,0,0
"ENSMUSG00000077714",2,0,15,7,1,8,12
"ENSMUSG00000077716",0,0,0,0,0,0,0
"ENSMUSG00000077717",0,0,0,0,0,0,0
"ENSMUSG00000077718",0,0,0,0,0,0,0
"ENSMUSG00000077719",0,0,0,0,0,0,0
"ENSMUSG00000077726",0,0,0,0,0,0,0
"ENSMUSG00000077728",0,0,0,0,0,0,0
"ENSMUSG00000077730",0,0,0,0,0,0,0
"ENSMUSG00000077733",0,0,0,0,0,0,0
"ENSMUSG00000077734",2,3,4,23,9,17,11
"ENSMUSG00000077735",0,0,0,0,0,0,0
"ENSMUSG00000077736",0,0,0,0,0,0,0
"ENSMUSG00000077737",4,3,6,12,11,18,6
"ENSMUSG00000077738",0,0,0,0,0,0,0
"ENSMUSG00000077741",0,0,0,0,0,0,0
"ENSMUSG00000077743",0,0,0,0,0,0,0
"ENSMUSG00000077744",0,0,0,0,0,0,0
"ENSMUSG00000077745",0,0,0,0,0,0,0
"ENSMUSG00000077749",0,0,0,0,0,0,0
"ENSMUSG00000077750",0,0,0,0,0,0,0
"ENSMUSG00000077752",0,0,0,0,0,0,0
"ENSMUSG00000077755",0,0,0,0,0,0,0
"ENSMUSG00000077756",0,0,0,0,0,0,0
"ENSMUSG00000077757",0,0,0,0,0,0,0
"ENSMUSG00000077758",0,0,0,0,1,0,0
"ENSMUSG00000077759",0,0,0,0,0,0,0
"ENSMUSG00000077761",0,0,0,0,0,0,0
"ENSMUSG00000077767",0,0,0,0,0,0,0
"ENSMUSG00000077768",0,0,0,0,0,0,0
"ENSMUSG00000077769",0,0,0,0,0,0,0
"ENSMUSG00000077771",0,0,0,0,0,0,0
"ENSMUSG00000077772",0,0,0,0,0,0,0
"ENSMUSG00000077776",0,0,0,0,0,0,0
"ENSMUSG00000077777",0,0,0,0,0,1,0
"ENSMUSG00000077780",0,0,0,0,0,1,0
"ENSMUSG00000077782",0,0,0,0,0,0,0
"ENSMUSG00000077783",0,0,0,0,0,0,0
"ENSMUSG00000077784",0,0,0,0,0,0,0
"ENSMUSG00000077785",0,0,0,0,0,0,0
"ENSMUSG00000077786",0,0,0,0,0,0,0
"ENSMUSG00000077787",0,0,1,3,3,2,2
"ENSMUSG00000077789",0,0,0,0,3,1,0
"ENSMUSG00000077791",0,0,0,0,0,0,0
"ENSMUSG00000077792",0,0,0,0,0,0,0
"ENSMUSG00000077793",0,0,0,0,0,0,0
"ENSMUSG00000077794",0,0,0,0,0,0,0
"ENSMUSG00000077795",0,0,0,1,1,0,0
"ENSMUSG00000077796",0,0,0,0,0,0,0
"ENSMUSG00000077797",1,2,11,12,13,11,7
"ENSMUSG00000077799",0,0,0,0,0,0,0
"ENSMUSG00000077802",0,0,0,0,0,0,0
"ENSMUSG00000077804",0,0,0,0,0,1,1
"ENSMUSG00000077815",0,0,0,0,0,0,0
"ENSMUSG00000077821",0,0,0,0,0,0,0
"ENSMUSG00000077829",0,0,0,0,0,0,0
"ENSMUSG00000077830",0,0,0,0,0,0,1
"ENSMUSG00000077832",0,0,0,0,0,0,0
"ENSMUSG00000077834",0,0,0,0,0,0,0
"ENSMUSG00000077836",0,0,0,0,0,0,0
"ENSMUSG00000077844",0,0,0,0,0,0,0
"ENSMUSG00000077846",0,0,0,0,0,0,0
"ENSMUSG00000077847",0,0,0,0,0,0,0
"ENSMUSG00000077851",0,0,0,0,0,0,0
"ENSMUSG00000077857",0,0,0,0,0,0,0
"ENSMUSG00000077858",0,0,0,0,0,0,0
"ENSMUSG00000077869",0,0,0,0,0,0,0
"ENSMUSG00000077872",0,0,0,0,0,0,0
"ENSMUSG00000077879",0,0,0,0,0,0,0
"ENSMUSG00000077881",0,0,0,0,0,0,0
"ENSMUSG00000077884",0,0,0,0,0,0,0
"ENSMUSG00000077886",0,0,0,0,0,0,0
"ENSMUSG00000077890",0,0,0,0,0,0,0
"ENSMUSG00000077892",0,0,0,0,0,0,0
"ENSMUSG00000077896",0,0,0,0,0,0,0
"ENSMUSG00000077897",0,0,0,0,0,0,0
"ENSMUSG00000077902",0,0,0,0,0,0,0
"ENSMUSG00000077903",0,0,0,0,0,0,0
"ENSMUSG00000077921",0,0,0,0,0,0,0
"ENSMUSG00000077925",0,0,0,0,0,0,0
"ENSMUSG00000077928",0,0,0,0,0,0,0
"ENSMUSG00000077931",0,0,0,0,0,0,0
"ENSMUSG00000077938",0,0,0,0,0,0,0
"ENSMUSG00000077939",0,0,0,0,0,0,0
"ENSMUSG00000077941",0,0,0,0,0,0,0
"ENSMUSG00000077948",0,0,0,0,0,0,0
"ENSMUSG00000077954",0,0,0,0,0,0,0
"ENSMUSG00000077962",0,1,0,2,0,0,0
"ENSMUSG00000077965",0,0,0,0,0,0,0
"ENSMUSG00000077971",0,0,0,0,0,0,0
"ENSMUSG00000077972",0,0,0,0,0,0,0
"ENSMUSG00000077980",0,0,0,0,0,0,0
"ENSMUSG00000077981",0,0,0,0,0,0,0
"ENSMUSG00000077990",0,0,0,0,0,0,0
"ENSMUSG00000077991",0,0,0,0,0,0,0
"ENSMUSG00000077996",0,0,0,0,0,0,0
"ENSMUSG00000077998",0,0,0,0,0,0,0
"ENSMUSG00000078002",0,0,0,0,0,0,0
"ENSMUSG00000078006",0,0,0,0,0,0,0
"ENSMUSG00000078008",0,0,0,0,0,0,0
"ENSMUSG00000078017",0,0,0,0,0,0,0
"ENSMUSG00000078024",0,0,0,0,0,0,0
"ENSMUSG00000078025",0,0,0,0,0,0,0
"ENSMUSG00000078026",0,0,0,0,0,0,0
"ENSMUSG00000078027",0,0,0,0,0,0,0
"ENSMUSG00000078031",0,0,0,0,0,0,0
"ENSMUSG00000078032",0,0,0,0,0,0,0
"ENSMUSG00000078034",0,0,0,0,0,0,0
"ENSMUSG00000078035",0,0,0,0,0,0,0
"ENSMUSG00000078038",0,0,0,0,0,0,0
"ENSMUSG00000078041",0,0,0,0,0,0,0
"ENSMUSG00000078042",1,0,0,3,0,0,0
"ENSMUSG00000078057",0,0,0,0,0,0,0
"ENSMUSG00000078060",0,0,0,0,0,0,0
"ENSMUSG00000078061",0,0,0,0,0,0,0
"ENSMUSG00000078080",0,0,0,0,0,0,0
"ENSMUSG00000078087",0,0,0,0,0,0,0
"ENSMUSG00000078091",2,2,4,4,2,0,2
"ENSMUSG00000078097",0,0,0,1,0,0,0
"ENSMUSG00000078116",0,0,0,0,0,0,0
"ENSMUSG00000078117",18,25,17,34,37,34,28
"ENSMUSG00000078118",0,0,0,0,0,0,0
"ENSMUSG00000078122",16,18,12,200,154,192,147
"ENSMUSG00000078123",0,0,0,0,0,0,0
"ENSMUSG00000078125",2,5,5,9,6,9,10
"ENSMUSG00000078126",0,3,2,1,3,7,2
"ENSMUSG00000078127",0,0,0,7,3,3,9
"ENSMUSG00000078128",1,0,0,0,1,0,0
"ENSMUSG00000078129",2,0,0,0,2,2,2
"ENSMUSG00000078130",0,0,0,0,0,0,0
"ENSMUSG00000078131",0,0,0,0,0,0,0
"ENSMUSG00000078132",0,0,0,0,0,0,0
"ENSMUSG00000078134",3,1,4,5,2,7,3
"ENSMUSG00000078137",1,4,0,2,1,0,2
"ENSMUSG00000078139",3,1,10,2,4,2,4
"ENSMUSG00000078141",1,0,0,3,1,5,1
"ENSMUSG00000078143",1,1,0,2,2,1,2
"ENSMUSG00000078144",0,1,0,6,4,2,0
"ENSMUSG00000078151",0,0,1,1,0,0,0
"ENSMUSG00000078153",14,17,18,43,43,42,49
"ENSMUSG00000078154",7,9,8,19,20,21,16
"ENSMUSG00000078157",0,1,0,3,9,2,0
"ENSMUSG00000078160",1,2,2,11,9,12,8
"ENSMUSG00000078161",20,15,20,8,13,37,21
"ENSMUSG00000078162",0,0,1,0,0,0,0
"ENSMUSG00000078173",1,0,0,0,1,1,0
"ENSMUSG00000078177",0,1,1,0,1,0,0
"ENSMUSG00000078179",0,0,1,2,3,3,2
"ENSMUSG00000078180",3,5,3,11,14,8,10
"ENSMUSG00000078182",0,0,0,0,0,0,0
"ENSMUSG00000078183",3,1,0,5,2,1,2
"ENSMUSG00000078184",2,2,4,4,8,1,3
"ENSMUSG00000078185",136,136,140,472,384,326,303
"ENSMUSG00000078190",18,25,15,742,357,299,267
"ENSMUSG00000078192",0,0,1,1,0,3,0
"ENSMUSG00000078193",11,12,16,36,35,23,17
"ENSMUSG00000078197",0,1,0,2,0,0,3
"ENSMUSG00000078198",0,0,0,0,0,0,0
"ENSMUSG00000078201",60,68,75,101,81,95,52
"ENSMUSG00000078202",21,28,31,68,98,77,80
"ENSMUSG00000078206",0,0,0,0,0,0,0
"ENSMUSG00000078208",0,0,0,0,0,0,0
"ENSMUSG00000078210",0,0,0,0,0,0,0
"ENSMUSG00000078212",0,0,0,0,0,0,0
"ENSMUSG00000078213",0,0,0,0,0,0,0
"ENSMUSG00000078214",0,0,0,0,0,0,0
"ENSMUSG00000078218",0,0,0,0,0,0,0
"ENSMUSG00000078234",3923,4256,5501,5298,3807,4073,3757
"ENSMUSG00000078235",0,0,1,3,0,1,1
"ENSMUSG00000078238",9,13,15,19,16,24,16
"ENSMUSG00000078240",0,0,1,6,5,3,4
"ENSMUSG00000078247",92,88,74,166,105,152,104
"ENSMUSG00000078249",34,29,31,219,144,189,131
"ENSMUSG00000078251",10,7,13,2,1,1,1
"ENSMUSG00000078252",0,0,0,0,0,0,0
"ENSMUSG00000078253",0,0,0,0,0,0,0
"ENSMUSG00000078254",0,0,0,0,0,0,0
"ENSMUSG00000078255",0,0,0,0,0,0,0
"ENSMUSG00000078256",0,0,0,0,0,0,0
"ENSMUSG00000078257",0,0,0,0,0,0,0
"ENSMUSG00000078258",0,0,0,0,0,0,0
"ENSMUSG00000078259",0,0,0,0,0,0,0
"ENSMUSG00000078260",0,0,0,0,0,0,0
"ENSMUSG00000078261",0,0,0,0,0,0,0
"ENSMUSG00000078262",0,0,0,0,0,0,0
"ENSMUSG00000078263",0,0,0,0,0,0,0
"ENSMUSG00000078269",0,0,0,0,0,0,0
"ENSMUSG00000078270",0,0,0,0,0,0,0
"ENSMUSG00000078276",0,0,0,0,0,0,0
"ENSMUSG00000078280",0,0,0,0,0,0,0
"ENSMUSG00000078289",3,5,3,0,3,3,2
"ENSMUSG00000078291",0,0,0,0,0,0,1
"ENSMUSG00000078300",4,4,11,2,0,2,1
"ENSMUSG00000078302",34,30,21,55,42,57,23
"ENSMUSG00000078307",3,1,1,23,9,20,6
"ENSMUSG00000078308",2,5,4,3,4,1,3
"ENSMUSG00000078314",25,14,18,15,13,15,10
"ENSMUSG00000078315",0,0,0,0,0,0,0
"ENSMUSG00000078317",252,259,267,441,390,415,309
"ENSMUSG00000078320",0,0,0,0,0,0,0
"ENSMUSG00000078324",0,0,0,0,0,0,0
"ENSMUSG00000078346",0,0,0,0,0,0,0
"ENSMUSG00000078348",669,741,955,1136,927,1179,735
"ENSMUSG00000078349",35,33,30,75,35,57,56
"ENSMUSG00000078350",1665,2114,1899,1100,876,1255,1071
"ENSMUSG00000078354",0,0,0,0,0,1,0
"ENSMUSG00000078355",0,0,0,0,0,0,0
"ENSMUSG00000078365",0,3,0,3,1,0,0
"ENSMUSG00000078370",5,9,4,3,6,10,7
"ENSMUSG00000078377",1,2,1,0,0,0,0
"ENSMUSG00000078380",3,2,0,0,0,0,0
"ENSMUSG00000078420",0,0,0,0,0,0,0
"ENSMUSG00000078427",195,311,270,614,444,485,441
"ENSMUSG00000078429",2894,3397,4054,6622,5110,5821,4953
"ENSMUSG00000078430",0,0,0,0,0,0,0
"ENSMUSG00000078435",80,83,75,159,131,143,118
"ENSMUSG00000078439",3674,3573,5494,1510,1237,2077,1305
"ENSMUSG00000078440",746,956,1071,1224,910,1181,856
"ENSMUSG00000078441",0,3,0,4,2,0,1
"ENSMUSG00000078442",0,0,0,0,0,0,3
"ENSMUSG00000078444",10,12,8,23,23,31,22
"ENSMUSG00000078451",115,167,169,162,88,152,118
"ENSMUSG00000078452",0,0,0,14,5,14,18
"ENSMUSG00000078453",220,296,295,770,515,754,656
"ENSMUSG00000078480",46,38,51,38,48,57,44
"ENSMUSG00000078481",0,0,0,0,0,0,0
"ENSMUSG00000078484",645,823,809,1111,715,1250,788
"ENSMUSG00000078485",86,99,117,443,289,484,326
"ENSMUSG00000078486",385,383,614,110,83,96,93
"ENSMUSG00000078487",2,0,2,1,9,1,0
"ENSMUSG00000078488",0,0,0,0,0,0,0
"ENSMUSG00000078489",2,1,0,2,2,2,1
"ENSMUSG00000078490",10,6,6,51,21,43,56
"ENSMUSG00000078491",0,0,1,0,0,0,0
"ENSMUSG00000078492",3,5,7,2,0,0,0
"ENSMUSG00000078494",0,0,3,2,5,2,3
"ENSMUSG00000078495",8,57,57,341,281,251,258
"ENSMUSG00000078496",1,4,4,13,20,13,25
"ENSMUSG00000078497",0,0,2,1,2,0,1
"ENSMUSG00000078498",6,5,0,3,3,3,3
"ENSMUSG00000078500",0,0,0,3,0,0,1
"ENSMUSG00000078502",9,3,2,114,102,129,65
"ENSMUSG00000078503",60,35,18,155,134,186,147
"ENSMUSG00000078504",4,1,2,0,0,0,0
"ENSMUSG00000078505",0,0,0,0,0,0,0
"ENSMUSG00000078506",0,0,0,0,0,0,0
"ENSMUSG00000078507",0,0,0,0,0,0,0
"ENSMUSG00000078508",0,0,0,0,0,0,0
"ENSMUSG00000078509",0,0,0,0,0,0,0
"ENSMUSG00000078510",0,0,0,0,0,0,0
"ENSMUSG00000078511",0,0,0,0,0,0,0
"ENSMUSG00000078512",0,0,0,0,0,0,0
"ENSMUSG00000078513",0,0,0,0,0,0,0
"ENSMUSG00000078515",2756,2727,3812,3566,2755,2560,2926
"ENSMUSG00000078517",533,484,679,1004,771,753,767
"ENSMUSG00000078518",0,0,0,0,0,1,0
"ENSMUSG00000078519",18,15,18,34,23,32,25
"ENSMUSG00000078520",0,0,0,0,0,0,0
"ENSMUSG00000078521",2,4,1,28,37,36,14
"ENSMUSG00000078528",12,8,7,3,4,12,4
"ENSMUSG00000078531",2,15,5,2,5,1,0
"ENSMUSG00000078532",205,281,311,365,288,268,257
"ENSMUSG00000078537",0,0,0,0,0,0,0
"ENSMUSG00000078546",33,45,39,186,144,182,168
"ENSMUSG00000078552",28,40,19,29,27,49,32
"ENSMUSG00000078554",4,5,4,13,3,8,7
"ENSMUSG00000078566",1948,2305,2456,1230,1063,1419,1119
"ENSMUSG00000078570",164,174,246,215,184,189,123
"ENSMUSG00000078572",332,385,543,424,378,400,250
"ENSMUSG00000078575",0,0,0,0,0,0,0
"ENSMUSG00000078576",0,0,0,0,0,0,0
"ENSMUSG00000078577",0,0,0,0,0,0,0
"ENSMUSG00000078578",3801,3864,4410,5548,4639,4511,4073
"ENSMUSG00000078580",138,143,163,285,217,277,182
"ENSMUSG00000078584",451,506,485,794,559,678,614
"ENSMUSG00000078586",0,0,0,1,0,0,1
"ENSMUSG00000078588",1,2,6,14,11,15,8
"ENSMUSG00000078590",0,0,5,0,0,0,0
"ENSMUSG00000078591",0,8,1,4,0,1,1
"ENSMUSG00000078592",10,9,8,4,1,3,3
"ENSMUSG00000078593",0,0,0,0,0,0,0
"ENSMUSG00000078597",14,15,13,581,606,871,779
"ENSMUSG00000078598",0,0,0,0,0,0,0
"ENSMUSG00000078599",3,0,0,4,0,3,1
"ENSMUSG00000078600",0,0,1,0,0,1,0
"ENSMUSG00000078601",1,1,2,2,0,0,1
"ENSMUSG00000078604",1,5,0,2,1,1,1
"ENSMUSG00000078605",1,0,0,0,0,0,2
"ENSMUSG00000078606",12,11,5,47,46,42,22
"ENSMUSG00000078607",36,34,42,46,30,55,39
"ENSMUSG00000078611",0,0,0,0,0,0,0
"ENSMUSG00000078612",44,40,35,386,498,481,603
"ENSMUSG00000078616",0,1,0,5,14,9,3
"ENSMUSG00000078618",0,0,0,0,0,0,0
"ENSMUSG00000078619",864,1088,1104,2866,1964,2397,1951
"ENSMUSG00000078620",0,1,1,2,0,2,1
"ENSMUSG00000078621",0,0,0,0,0,0,0
"ENSMUSG00000078622",1979,2036,2521,2277,1864,1995,1876
"ENSMUSG00000078624",0,0,0,0,0,0,0
"ENSMUSG00000078625",0,0,0,0,0,0,0
"ENSMUSG00000078626",0,0,0,0,0,0,0
"ENSMUSG00000078627",48,27,64,12,13,20,8
"ENSMUSG00000078630",0,1,0,11,4,6,7
"ENSMUSG00000078632",0,0,0,0,0,0,0
"ENSMUSG00000078635",0,0,1,2,1,0,2
"ENSMUSG00000078636",0,0,2,0,0,0,1
"ENSMUSG00000078639",2,0,0,0,1,1,0
"ENSMUSG00000078640",5,2,0,20,16,27,13
"ENSMUSG00000078648",78,61,63,40,25,15,20
"ENSMUSG00000078650",8192,11227,14035,616,474,836,716
"ENSMUSG00000078651",122,131,152,192,175,237,232
"ENSMUSG00000078652",1835,1834,1989,3240,2776,2536,2358
"ENSMUSG00000078653",23,19,26,23,23,17,18
"ENSMUSG00000078655",1,1,0,0,0,0,0
"ENSMUSG00000078656",22,37,33,30,39,36,19
"ENSMUSG00000078657",0,2,2,0,0,0,2
"ENSMUSG00000078664",0,0,0,0,1,0,2
"ENSMUSG00000078668",0,0,0,0,0,0,0
"ENSMUSG00000078670",256,395,348,634,609,642,402
"ENSMUSG00000078671",1397,1315,1670,2404,1795,1977,2031
"ENSMUSG00000078672",0,0,0,0,0,0,0
"ENSMUSG00000078673",0,0,0,0,0,0,0
"ENSMUSG00000078674",0,0,0,0,0,0,0
"ENSMUSG00000078675",0,0,0,0,0,0,0
"ENSMUSG00000078676",909,1132,1161,2116,1587,1771,1474
"ENSMUSG00000078677",0,0,0,0,0,0,0
"ENSMUSG00000078680",0,0,0,0,0,0,0
"ENSMUSG00000078681",747,1017,989,1085,937,972,733
"ENSMUSG00000078683",0,0,0,0,0,0,0
"ENSMUSG00000078684",87,4,3,79,67,61,34
"ENSMUSG00000078685",0,0,0,0,0,0,0
"ENSMUSG00000078686",0,0,0,0,0,0,0
"ENSMUSG00000078687",0,0,0,0,0,0,0
"ENSMUSG00000078688",0,0,0,0,0,0,0
"ENSMUSG00000078689",0,0,0,0,0,0,0
"ENSMUSG00000078691",0,0,0,0,0,0,0
"ENSMUSG00000078695",619,724,922,417,364,504,272
"ENSMUSG00000078698",27,4,1,274,155,160,208
"ENSMUSG00000078700",74,99,80,90,61,85,76
"ENSMUSG00000078706",890,884,1165,1559,1253,1262,1026
"ENSMUSG00000078713",269,367,386,388,332,476,312
"ENSMUSG00000078716",333,384,428,538,414,491,441
"ENSMUSG00000078719",0,0,0,0,0,0,0
"ENSMUSG00000078721",0,0,0,0,0,0,1
"ENSMUSG00000078722",0,0,0,0,0,0,0
"ENSMUSG00000078735",0,0,0,0,0,0,0
"ENSMUSG00000078737",1,0,0,0,0,0,0
"ENSMUSG00000078742",0,0,0,0,0,0,0
"ENSMUSG00000078746",0,0,0,0,0,0,0
"ENSMUSG00000078747",0,0,0,0,0,0,0
"ENSMUSG00000078752",0,0,0,2,0,2,1
"ENSMUSG00000078753",0,0,0,0,0,0,0
"ENSMUSG00000078754",0,0,0,0,0,0,0
"ENSMUSG00000078757",0,0,0,0,0,0,0
"ENSMUSG00000078759",0,0,0,0,0,0,0
"ENSMUSG00000078762",30,36,24,86,75,85,73
"ENSMUSG00000078763",2,2,4,121,65,79,54
"ENSMUSG00000078765",8,10,7,13,6,6,12
"ENSMUSG00000078768",25,32,25,113,72,94,64
"ENSMUSG00000078771",20,29,9,505,331,333,433
"ENSMUSG00000078772",5,4,1,6,2,7,6
"ENSMUSG00000078773",6,13,7,74,110,79,81
"ENSMUSG00000078776",2,0,4,13,11,12,16
"ENSMUSG00000078779",78,117,105,231,183,166,187
"ENSMUSG00000078780",2,1,2,84,79,55,17
"ENSMUSG00000078783",2,1,0,21,6,20,42
"ENSMUSG00000078784",243,405,323,769,742,790,456
"ENSMUSG00000078786",247,314,323,532,405,492,387
"ENSMUSG00000078787",6,6,3,15,7,14,12
"ENSMUSG00000078789",248,268,384,528,458,404,335
"ENSMUSG00000078793",0,0,0,0,0,0,0
"ENSMUSG00000078794",35,88,36,507,326,549,329
"ENSMUSG00000078795",0,0,0,0,0,0,1
"ENSMUSG00000078796",0,0,1,1,1,1,3
"ENSMUSG00000078798",0,0,0,0,0,0,0
"ENSMUSG00000078799",0,0,0,0,0,0,0
"ENSMUSG00000078800",0,0,0,0,0,0,0
"ENSMUSG00000078808",0,0,0,0,0,0,0
"ENSMUSG00000078810",0,0,0,2,1,1,0
"ENSMUSG00000078812",5909,7145,7374,10611,9196,10114,8090
"ENSMUSG00000078813",329,454,414,467,341,487,334
"ENSMUSG00000078815",0,0,0,1,0,0,0
"ENSMUSG00000078816",16,23,22,47,49,60,36
"ENSMUSG00000078817",0,1,0,10,4,11,2
"ENSMUSG00000078838",0,0,1,4,1,1,1
"ENSMUSG00000078840",0,0,0,0,0,0,0
"ENSMUSG00000078847",0,0,0,0,0,1,0
"ENSMUSG00000078850",0,0,0,1,0,2,1
"ENSMUSG00000078851",132,205,195,216,207,267,161
"ENSMUSG00000078853",215,184,228,816,860,835,931
"ENSMUSG00000078861",102,87,125,170,139,132,129
"ENSMUSG00000078862",37,35,40,89,66,70,58
"ENSMUSG00000078864",15,14,11,31,24,24,32
"ENSMUSG00000078865",0,0,1,0,0,1,4
"ENSMUSG00000078866",101,177,143,160,125,105,138
"ENSMUSG00000078867",4,9,13,15,15,17,25
"ENSMUSG00000078868",47,34,30,45,49,55,57
"ENSMUSG00000078869",0,2,0,0,1,0,0
"ENSMUSG00000078870",27,92,70,82,62,67,69
"ENSMUSG00000078872",1,3,8,1,4,2,1
"ENSMUSG00000078875",0,0,0,0,0,0,0
"ENSMUSG00000078876",0,0,0,0,0,0,0
"ENSMUSG00000078877",37,61,47,97,70,75,74
"ENSMUSG00000078878",14,51,17,73,51,54,69
"ENSMUSG00000078879",0,4,0,2,1,4,0
"ENSMUSG00000078880",0,0,0,0,0,0,0
"ENSMUSG00000078881",0,0,0,0,0,0,0
"ENSMUSG00000078886",0,0,0,0,0,0,0
"ENSMUSG00000078887",0,0,0,0,0,1,0
"ENSMUSG00000078889",0,0,0,0,0,0,0
"ENSMUSG00000078891",0,0,0,0,0,0,0
"ENSMUSG00000078894",0,0,0,1,0,0,0
"ENSMUSG00000078895",0,0,0,0,0,0,0
"ENSMUSG00000078896",0,0,0,0,0,0,0
"ENSMUSG00000078897",0,2,2,4,2,1,6
"ENSMUSG00000078898",0,0,0,0,0,0,0
"ENSMUSG00000078899",0,0,0,0,0,0,0
"ENSMUSG00000078901",0,0,0,0,0,0,0
